"blk_no","street","max_floor_lvl","year_completed","residential","commercial","market_hawker","miscellaneous","multistorey_carpark","precinct_pavilion","bldg_contract_town","total_dwelling_units","X1room_sold","X2room_sold","X3room_sold","X4room_sold","X5room_sold","exec_sold","multigen_sold","studio_apartment_sold","X1room_rental","X2room_rental","X3room_rental","other_room_rental","postal","address","dist_to_park_centroid","dist_to_park_boundary","park_area","park_length","park_name","diff_boundary_centroid","SVY21_X","SVY21_Y","longitude","latitude"
"652","HOUGANG AVE 8",13,1986,"Y","N","N","N","N","N","HG",120,0,0,120,0,0,0,0,0,0,0,0,0,"530652","652 HOUGANG AVENUE 8 SINGAPORE 530652",397.737995810631,397.737995810631,3347.0671118,311.313402411865,"PK VILLAS TERRACE PG",0,33372.9320836777,39379.4783565425,103.8815982,1.372408043
"652","JLN TENAGA",14,1995,"Y","Y","N","N","N","N","BD",78,0,0,0,0,78,0,0,0,0,0,0,0,"410652","652 JALAN TENAGA EUNOS DAMAI VILLE SINGAPORE 410652",184.412658424611,184.412658424611,1050.713149055,163.269130481254,"JALAN SINGA PARK",0,36282.6649176957,34988.451658253,103.907743,1.332696519
"652","JURONG WEST ST 61",1,2001,"N","N","N","N","N","Y","JW",0,0,0,0,0,0,0,0,0,0,0,0,0,"640652","652 JURONG WEST STREET 61 SINGAPORE 640652",432.417137914331,432.417137914331,5636.84244656,372.376691053014,"YUNNAN PARK",0,12833.0548672443,35398.4881182903,103.6970349,1.336402069
"652","PUNGGOL CTRL",18,2003,"Y","N","N","N","N","N","PG",103,0,0,0,33,70,0,0,0,0,0,0,0,"820652","652 PUNGGOL CENTRAL EASTDALE SINGAPORE 820652",1208.24981790478,1208.24981790478,980333.61352904,5345.95255877397,"CONEY ISLAND PARK",0,37172.1380381782,42093.6539763208,103.9157376,1.396953111
"652","SENJA LINK",20,2000,"Y","N","N","N","N","N","BP",104,0,0,0,18,48,38,0,0,0,0,0,0,"670652","652 SENJA LINK SINGAPORE 670652",957.374467438969,957.374467438969,159926.26319664,6225.62660710876,"ZHENGHUA NATURE PARK",0,20268.7317492512,41042.6486363758,103.7638472,1.387448623
"652","WOODLANDS RING RD",12,1997,"Y","N","N","Y","N","N","WL",78,0,0,0,0,0,78,0,0,0,0,0,0,"730652","652 WOODLANDS RING ROAD PCF SPARKLETOTS PRESCHOOL @ WOODLANDS BLK 652 (KN) SINGAPORE 730652",1538.63059718176,1538.63059718176,14744.01938445,675.633377628266,"WOODLANDS HEALING GARDEN",0,24267.5142933225,46621.0892579009,103.7997786,1.437898808
"652","YISHUN AVE 4",12,1986,"Y","N","N","Y","N","N","YS",63,0,0,0,9,0,54,0,0,0,0,0,0,"760652","652 YISHUN AVENUE 4 NEE SOON CENTRAL VIEW SINGAPORE 760652",88.4833457765776,88.4833457765776,23187.918220015,2319.79910831238,"YISHUN POND PK",0,28749.3089323099,45059.7911322474,103.8400518,1.423779231
"652A","JURONG WEST ST 61",14,2000,"Y","N","N","Y","N","N","JW",93,0,0,0,0,93,0,0,0,0,0,0,0,"641652","652A JURONG WEST STREET 61 SINGAPORE 641652",567.095549593174,567.095549593174,5636.84244656,372.376691053014,"YUNNAN PARK",0,12977.5440041229,35429.1167653612,103.6983332,1.336679135
"652B","JURONG WEST ST 61",16,2000,"Y","N","N","Y","N","N","JW",107,0,0,0,0,107,0,0,0,0,0,0,0,"642652","652B JURONG WEST STREET 61 SINGAPORE 642652",530.070653796802,530.070653796802,5636.84244656,372.376691053014,"YUNNAN PARK",0,12939.3157627836,35425.0355485693,103.6979897,1.336642207
"652C","JURONG WEST ST 61",16,2000,"Y","N","N","N","N","N","JW",107,0,0,0,0,107,0,0,0,0,0,0,0,"643652","652C JURONG WEST STREET 61 SINGAPORE 643652",444.104355921258,444.104355921258,5636.84244656,372.376691053014,"YUNNAN PARK",0,12851.7418865384,35425.0782048295,103.6972028,1.336642549
"653","HOUGANG AVE 8",17,1987,"Y","N","N","N","N","N","HG",64,0,0,0,0,64,0,0,0,0,0,0,0,"530653","653 HOUGANG AVENUE 8 SINGAPORE 530653",434.16516040985,434.16516040985,3347.0671118,311.313402411865,"PK VILLAS TERRACE PG",0,33333.8802520284,39426.3453177389,103.8812473,1.372831898
"653","JLN TENAGA",15,1995,"Y","N","N","N","N","N","BD",79,0,0,0,0,79,0,0,0,0,0,0,0,"410653","653 JALAN TENAGA EUNOS DAMAI VILLE SINGAPORE 410653",196.086015105445,196.086015105445,1050.713149055,163.269130481254,"JALAN SINGA PARK",0,36251.9371939673,35009.8707621056,103.9074669,1.332890234
"653","PUNGGOL DR",1,2022,"N","N","N","N","N","Y","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"820653","653 PUNGGOL DRIVE WATERWAY SUNRISE II SINGAPORE 820653",822.753023848924,822.753023848924,980333.61352904,5345.95255877397,"CONEY ISLAND PARK",0,37659.6813648472,42199.7689624992,103.9201186,1.397912617
"653","SENJA LINK",20,1999,"Y","N","N","N","N","N","BP",74,0,0,0,0,36,38,0,0,0,0,0,0,"670653","653 SENJA LINK SINGAPORE 670653",938.868040608697,938.868040608697,159926.26319664,6225.62660710876,"ZHENGHUA NATURE PARK",0,20279.7474830161,40984.8489871563,103.7639462,1.386925907
"653","WOODLANDS RING RD",12,1997,"Y","N","N","N","N","N","WL",92,0,0,0,48,44,0,0,0,0,0,0,0,"730653","653 WOODLANDS RING ROAD SINGAPORE 730653",1518.72247707913,1518.72247707913,14744.01938445,675.633377628266,"WOODLANDS HEALING GARDEN",0,24184.4628313536,46641.2831446918,103.7990323,1.438081423
"653","YISHUN AVE 4",12,1986,"Y","N","N","Y","N","N","YS",110,0,0,0,110,0,0,0,0,0,0,0,0,"760653","653 YISHUN AVENUE 4 NEE SOON CENTRAL VIEW SINGAPORE 760653",141.011717915821,141.011717915821,138629.68959894,1739.02790372422,"YISHUN PK",0,28706.4642837229,44982.4530030298,103.8396668,1.423079814
"653A","JURONG WEST ST 61",16,2000,"Y","N","N","Y","N","N","JW",152,0,0,0,0,152,0,0,0,0,0,0,0,"641653","653A JURONG WEST STREET 61 SINGAPORE 641653",377.228690443213,377.228690443213,5636.84244656,372.376691053014,"YUNNAN PARK",0,12788.9760157381,35452.5958957836,103.6966388,1.336891377
