blk_no,street,postal,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,X1room_sold,X2room_sold,X3room_sold,X4room_sold,X5room_sold,exec_sold,multigen_sold,studio_apartment_sold,X1room_rental,X2room_rental,X3room_rental,other_room_rental,address,dist_to_park_centroid,dist_to_park_boundary,diff_boundary_centroid,park_area,park_length,park_name,SVY21_X,SVY21_Y,Longitude,Latitude
1F,CANTONMENT RD,85601,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1F CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085601,119.3124648,119.3058101,-0.006654703,13563.79329,1383.298281,DUXTON PLAIN PK,28876.22281,28717.68072,103.8411918,1.275986995
1G,CANTONMENT RD,85701,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1G CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085701,152.3024264,152.2982906,-0.004135824,13563.79329,1383.298281,DUXTON PLAIN PK,28885.44292,28667.40199,103.8412746,1.275532291
10,CHAI CHEE RD,467010,15,1999,Y,Y,N,N,N,N,BD,84,0,0,0,56,28,0,0,0,0,0,0,0,10 CHAI CHEE ROAD SINGAPORE 467010,623.0504309,623.0523983,0.001967393,11008.18852,2171.923519,SIGLAP LINEAR PK (JLN B'WAN-UPP EC RD),38181.35607,34389.11105,103.9248036,1.327275724
10,DAKOTA CRES,390010,7,1958,Y,N,N,Y,N,N,GL,53,0,0,0,0,0,0,0,0,0,0,53,0,10 DAKOTA CRESCENT SINGAPORE 390010,102.6796331,102.676548,-0.003085144,4524.619468,378.1702916,MT BATTEN RD/OLD AIRPORT RD OS,33691.36577,32074.14268,103.8844582,1.306341146
10,EUNOS CRES,400010,16,1977,Y,N,N,Y,N,N,GL,180,0,0,0,180,0,0,0,0,0,0,0,0,10 EUNOS CRESCENT SINGAPORE 400010,310.5541492,310.5558511,0.001701873,1033.386288,155.746269,JLN YASIN INTERIM PK,35723.74641,33837.35446,103.9027205,1.322286559
10,GLOUCESTER RD,210010,14,1976,Y,N,N,Y,N,N,KWN,207,0,0,180,26,1,0,0,0,0,0,0,0,10 GLOUCESTER ROAD PCF SPARKLETOTS PRESCHOOL @ MOULMEIN-CAIRNHILL BLK 10 (DS) SINGAPORE 210010,394.4731667,394.4729823,-0.000184375,3714.950019,373.7979795,PEK KIO PARK,30102.4091,32911.74699,103.8522098,1.313916596
10,HAIG RD,430010,13,1976,Y,Y,N,N,N,N,GL,133,0,0,132,0,0,0,0,0,0,0,1,0,10 HAIG ROAD HAIG VIEW SINGAPORE 430010,367.9333743,367.9371771,0.003802845,2880.290946,239.0820351,GUILLEMARD RD OS,34960.83501,33013.8764,103.8958652,1.314839502
10,HOLLAND AVE,271010,14,1973,Y,N,N,N,N,N,QT,101,0,0,0,101,0,0,0,0,0,0,0,0,10 HOLLAND AVENUE HOLLAND VISTA SINGAPORE 271010,341.4604412,341.4609274,0.000486219,754248.0541,43075.71525,RAIL CORRIDOR,23654.83408,32274.12918,103.7942752,1.308149971
10,JLN RUMAH TINGGI,150010,4,1986,Y,N,N,N,N,N,BM,28,0,0,20,8,0,0,0,0,0,0,0,0,10 JALAN RUMAH TINGGI RUMAH TINGGI VIEW SINGAPORE 150010,445.5877747,445.5848037,-0.002970968,754248.0541,43075.71525,RAIL CORRIDOR,25223.36582,30068.16487,103.8083694,1.288200189
10,JLN KUKOH,162010,12,1970,Y,Y,N,Y,N,N,CT,92,0,72,16,4,0,0,0,0,0,0,0,0,10 JALAN KUKOH CHIN SWEE VIEW SINGAPORE 162010,126.2572751,126.2576903,0.000415245,84315.97282,2520.446464,PEARL'S HILL CITY PK,28640.7329,29932.54805,103.8390758,1.286973834
